timestamp_iso,ts_epoch,total_bytes
2025-11-21T08:02:33+00:00,1763712153.000000,1533.000000
2025-11-21T08:02:34+00:00,1763712154.000000,7723.000000
2025-11-21T08:02:35+00:00,1763712155.000000,4597.000000
2025-11-21T08:02:36+00:00,1763712156.000000,708.000000
2025-11-21T08:02:37+00:00,1763712157.000000,720.000000
2025-11-21T08:02:38+00:00,1763712158.000000,2567.000000
2025-11-21T08:02:39+00:00,1763712159.000000,7191.000000
2025-11-21T08:02:40+00:00,1763712160.000000,7132.000000
2025-11-21T08:02:41+00:00,1763712161.000000,6750.000000
2025-11-21T08:02:42+00:00,1763712162.000000,188071.000000
2025-11-21T08:02:43+00:00,1763712163.000000,5756.000000
2025-11-21T08:02:44+00:00,1763712164.000000,14064.000000
2025-11-21T08:02:45+00:00,1763712165.000000,4471.000000
2025-11-21T08:02:46+00:00,1763712166.000000,213.000000
2025-11-21T08:02:47+00:00,1763712167.000000,720.000000
2025-11-21T08:02:48+00:00,1763712168.000000,304.000000
2025-11-21T08:02:49+00:00,1763712169.000000,923.000000
2025-11-21T08:02:50+00:00,1763712170.000000,180.000000
2025-11-21T08:02:51+00:00,1763712171.000000,623.000000
2025-11-21T08:02:52+00:00,1763712172.000000,709.000000
2025-11-21T08:02:53+00:00,1763712173.000000,3803.000000
2025-11-21T08:02:54+00:00,1763712174.000000,944.000000
2025-11-21T08:02:55+00:00,1763712175.000000,1385.000000
2025-11-21T08:02:56+00:00,1763712176.000000,19412.000000
2025-11-21T08:02:57+00:00,1763712177.000000,20332.000000
2025-11-21T08:02:58+00:00,1763712178.000000,8909.000000
2025-11-21T08:02:59+00:00,1763712179.000000,9554.000000
2025-11-21T08:03:00+00:00,1763712180.000000,7718.000000
2025-11-21T08:03:01+00:00,1763712181.000000,2898.000000
2025-11-21T08:03:02+00:00,1763712182.000000,3592.000000
2025-11-21T08:03:03+00:00,1763712183.000000,6855.000000
2025-11-21T08:03:04+00:00,1763712184.000000,1110.000000
2025-11-21T08:03:05+00:00,1763712185.000000,42.000000
2025-11-21T08:03:06+00:00,1763712186.000000,180.000000
2025-11-21T08:03:07+00:00,1763712187.000000,714.000000
2025-11-21T08:03:08+00:00,1763712188.000000,13606.000000
2025-11-21T08:03:09+00:00,1763712189.000000,205.000000
2025-11-21T08:03:10+00:00,1763712190.000000,304.000000
2025-11-21T08:03:11+00:00,1763712191.000000,360.000000
2025-11-21T08:03:12+00:00,1763712192.000000,21336.000000
2025-11-21T08:03:13+00:00,1763712193.000000,664.000000
2025-11-21T08:03:14+00:00,1763712194.000000,365.000000
2025-11-21T08:03:15+00:00,1763712195.000000,20954.000000
2025-11-21T08:03:16+00:00,1763712196.000000,33264.000000
